"X","Y","Name","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
3.31355196105443,39.7468790859762,"Station_007",47.19,40.46,55.813,33.108,43.04,31.413,44.9,29.881,40.536,40.604,59.861,34.593,501.398
3.23792764445142,39.5312184841768,"Station_015",68.712,63.722,109.746,57.522,66.174,55.913,91.877,48.435,60.727,61.634,77.712,52.651,814.827
2.90396298241992,39.57341797442,"Station_031",45.909,43.293,80.131,40.491,44.841,42.354,61.241,38.96,39.434,45.675,69.687,38.031,590.045
2.93640511906059,39.4554686413261,"Station_034",60.583,59.141,97.964,54.348,61.605,50.743,69.559,61.63,64.841,62.657,95.062,60.059,798.191
3.3302593283411,39.6259792314583,"Station_036",52.993,48.628,76.75,52.453,63.886,50.353,82.512,45.71,47.238,54.606,69.877,48.926,693.931
3.16146897222576,39.499686973394,"Station_038",54.221,42.58,63.208,39.621,52.733,44.492,66.322,42.404,36.734,48.933,65.747,44.554,601.549
2.55084426960057,39.5306089295752,"Station_039",60.51,48.927,84.041,49.222,63,48.403,57.957,45.26,50.907,48.426,86.07,48.473,691.196
3.04342424541362,39.6545141228428,"Station_042",53.963,48.248,84.161,53.42,53.997,50.675,50.023,39.199,46.394,51.731,96.206,42.035,670.052
3.2417616449022,39.6750065804338,"Station_047",65.442,60.887,101.131,50.668,66.26,58.119,79.11,58.669,49.058,51.632,82.13,53.669,776.778
3.01924265374358,39.6557826972428,"Station_051",76.548,58.206,98.182,50.668,69.523,60.01,93.849,52.879,57.846,54.571,69.885,52.108,794.275
3.09532492659828,39.5994781302074,"Station_055",51.639,41.463,69.067,47.574,44.966,45.532,64.679,49.079,43.537,48.385,75.721,42.765,624.407
2.94274447081239,39.8340664171571,"Station_058",63.544,62.457,79.555,62.036,62.587,56.102,83.031,51.382,48.457,55.512,73.993,58.165,756.823
2.99123314407593,39.7512841575374,"Station_069",52.39,40.089,68.692,43.959,41.319,44.416,62.213,34.797,35.252,42.477,53.966,37.09,556.66
2.53426431976188,39.4986506480104,"Station_075",57.169,55.258,92.592,51.102,58.669,50.689,61.659,46.353,51.285,61.315,79.587,45.992,711.669
3.15684071843106,39.6573591812576,"Station_081",56,39.063,73.362,43.141,52.108,53.914,73.241,49.342,42.823,53.022,59.884,40.269,636.17
3.00152749073671,39.3627649465036,"Station_088",54.2,55.516,97.066,57.753,67.192,45.597,80.461,51.503,46.246,48.652,51.696,58.487,714.369
2.46166980648759,39.5290747316481,"Station_095",68.807,46.655,71.364,47.608,57.256,47.515,84.301,50.706,42.155,49.588,56.586,37.029,659.57
2.5881748990405,39.6703137419215,"Station_097",46.314,42.333,66.282,45.59,55.989,45.754,53.886,45.925,45.411,46.139,78.362,39.182,611.167
3.2852702671329,39.6022077861407,"Station_098",47.059,50.71,72.554,43.068,39.025,35.58,50.163,35.062,38.232,45.353,55.021,33.724,545.551
3.13287992709666,39.5185612192661,"Station_100",65.652,67.923,95.551,62.35,65.308,70.088,86.07,62.579,60.812,68.982,91.032,65.367,861.715
